,grammar_id,grammar_point,furigana,display_name,meaning,jlpt_level,page,example_num,sentence_japanese,sentence_romaji,sentence_english
75,10,どうやって,,どうやって,how; in what way; by what means can be used at beginning or mid-sentence,N5,30,8,私は彼がどうやって⼀⼈でそれをやったのか知らない。,watashi wa kare ga douyatte hitori de sore o yatta no ka shiranai.,I don't know how he did that all alone.
76,11,が,,が,subject marker; however; but Usage 1: subject marker,N5,32,1,明⽇は⾬が降る。,ashita wa ame ga furu.,It is going to rain tomorrow.
77,11,が,,が,subject marker; however; but Usage 1: subject marker,N5,32,2,仕⽅がない。,shikata ga nai.,It cannot be helped. (a common expression in Japanese)
78,11,が,,が,subject marker; however; but Usage 1: subject marker,N5,32,3,コンビニが近くにあります。,konbini ga chikaku ni arimasu.,There is a convenience store nearby.
79,11,が,,が,subject marker; however; but Usage 1: subject marker,N5,32,4,彼は借⾦がある。,kare wa shakkin ga aru.,He is in debt.
80,11,が,,が,subject marker; however; but Usage 1: subject marker,N5,32,5,今⽇は、やることがたくさんある。,"kyou wa, yaru koto ga takusan aru.",There are a lot of things to do today.
81,11,が,,が,subject marker; however; but Usage 1: subject marker,N5,32,6,彼は⾦はあるが、バカな男だ。,"kare wa kane wa aru ga, baka na otoko da.","He has money, but he's a stupid man."
82,11,が,,が,subject marker; however; but Usage 1: subject marker,N5,32,7,私は⽇本語を話すことはできますが、読むことはできません。,"watashi wa nihongo o hanasu koto wa dekimasu ga, yomu koto wa dekimasen.","I can speak Japanese, but I am not able to read it."
83,11,が,,が,subject marker; however; but Usage 1: subject marker,N5,32,8,このカメラを買いたいですがお⾦がない。,kono kamera o kaitai desu ga okane ga nai.,"I want to buy this camera, but I have no money.."
84,11,が,,が,subject marker; however; but Usage 1: subject marker,N5,32,9,恐れ⼊りますが、本⽇は満席です。,"osore irimasu ga, honjitsu wa manseki desu.","I deeply apologize, but today we have no more seats available. (we are fully booked)"
85,12,があります,,があります,there is; is (non-living things) がある / があります,N5,35,1,⼈気がある。,ninki ga aru.,to be popular.
86,12,があります,,があります,there is; is (non-living things) がある / があります,N5,35,2,先⽉お⾦がぜんぜんなかった。,sengetsu okane ga zenzen nakatta.,Last month I had no money.
87,12,があります,,があります,there is; is (non-living things) がある / があります,N5,35,3,へやにテレビがあります。,heya ni terebi ga arimasu.,I have a TV in my room.
88,12,があります,,があります,there is; is (non-living things) がある / があります,N5,35,4,⽇本の好きじゃないところはあります。,nihon no suki janai tokoro ha arimasu.,There are some things I don't like about Japan.
89,12,があります,,があります,there is; is (non-living things) がある / があります,N5,35,5,このマンションにはへやが三つあります。,kono manshon niwa heya ga mitsu arimasu.,There are three rooms in this apartment.
90,12,があります,,があります,there is; is (non-living things) がある / があります,N5,35,6,彼は⾦があるから新⾞が買える。,kare wa kane ga aru kara shinsha ga kaeru.,He has money so he can buy a new car.
91,12,があります,,があります,there is; is (non-living things) がある / があります,N5,35,7,今夜⽤事があるから⾏けない。,konya youji ga aru kara ikenai.,I have things to do tonight so I can't go.
92,13,がほしい,,がほしい,to want something,N5,38,1,もっとお⾦が欲しいです。,motto okane ga hoshii desu.,I want more money.
93,13,がほしい,,がほしい,to want something,N5,38,2,彼⼥がほしい。,kanojo ga hoshii.,I want a girlfriend.
94,13,がほしい,,がほしい,to want something,N5,38,3,お⾦がたくさんほしい。,okane ga takusan hoshii.,I want a lot of money. (it's OK to split が and ほしい)
95,13,がほしい,,がほしい,to want something,N5,38,4,何⼈⼦どもがほしいですか︖,nan nin kodomo ga hoshii desu ka?,How many children do you want to have?
96,13,がほしい,,がほしい,to want something,N5,38,5,新しい GoPro カメラが欲しいです︕,atarashii gopuro kamera ga hoshii desu!,I want the new GoPro camera!
97,13,がほしい,,がほしい,to want something,N5,38,6,いつか⾃分の家が欲しいです。,itsuka jibun no ie ga hoshii desu.,I want to have my own house one day.
98,13,がほしい,,がほしい,to want something,N5,38,7,私が欲しいものは⾃由です。,watashi ga hoshii mono wa jiyuu desu.,What I want is freedom.
99,13,がほしい,,がほしい,to want something,N5,38,8,⽇本で作られた⾞が欲しい。,nihon de tsukurareta kuruma ga hoshii.,I want a car made in Japan.
100,13,がほしい,,がほしい,to want something,N5,38,9,最近、仕事が忙しすぎてリラックスする時間が欲しい。,"saikin, shigoto ga isogashi sugite rirakkusu suru jikan ga hoshii.","Work is too busy lately, I want some time to relax."
101,13,がほしい,,がほしい,to want something,N5,38,10,彼が持っているみたいなパソコンが欲しい。,kare ga motteiru mitai na pasokon ga hoshii.,I want a computer like the one he has.
102,14,がいます,,がいます,there is; to be; is (living things) がいる / がいます,N5,40,1,テーブルの下に猫がいる。,teeburu no shita ni neko ga iru.,There is a cat below the table.
103,14,がいます,,がいます,there is; to be; is (living things) がいる / がいます,N5,40,2,あなたは彼⽒がいるの︖,anata wa kareshi ga iru no?,Do you have a boyfriend?
104,14,がいます,,がいます,there is; to be; is (living things) がいる / がいます,N5,40,3,私には兄弟がいないんだ。,watashi ni wa kyoudai ga inai nda.,I don't have any siblings.
105,14,がいます,,がいます,there is; to be; is (living things) がいる / がいます,N5,40,4,弟⼀⼈妹⼀⼈がいます。,otouto hitori imouto hitori ga imasu.,I have one younger brother and one younger sister.
106,14,がいます,,がいます,there is; to be; is (living things) がいる / がいます,N5,40,5,その部屋に⽝がいる。,sono heya ni inu ga iru.,There is a dog in that room.
107,14,がいます,,がいます,there is; to be; is (living things) がいる / がいます,N5,40,6,今学校にだれもいません。,ima gakkou ni daremo imasen.,There is no one at school right now.
108,14,がいます,,がいます,there is; to be; is (living things) がいる / がいます,N5,40,7,東京駅に観光者がいっぱいいる。,toukyou eki ni kankousha ga ippai iru.,There are a lot of tourists in Tokyo station.
109,15,ほうがいい,,ほうがいい,had better; it'd be better to; should~,N5,43,1,疲れたら、早く寝たほうがいい。,"tsukaretara, hayaku neta hou ga ii.","If you're tired, it's best to go to bed early."
110,15,ほうがいい,,ほうがいい,had better; it'd be better to; should~,N5,43,2,暑い⽇には、⽔をたくさん飲んだ⽅がいい。,"atsui hi ni wa, mizu o takusan nonda hou ga ii.",It's best to drink a lot of water on hot days.
111,15,ほうがいい,,ほうがいい,had better; it'd be better to; should~,N5,43,3,寝る前に、スマホを使わない⽅がいい。,"neru mae ni, sumaho o tsukawanai hou ga ii.","Before going to bed, it's best to not use your smartphone."
112,15,ほうがいい,,ほうがいい,had better; it'd be better to; should~,N5,43,4,毎⽇⽇本語を練習した⽅がいいですよ。,mainichi nihongo o renshuu shita hou ga ii desu yo.,You should practice Japanese every day.
113,15,ほうがいい,,ほうがいい,had better; it'd be better to; should~,N5,43,5,分からないとき、先⽣に聞いた⽅がいいですよ。,"wakaranai toki, sensei ni kiita hou ga ii desu yo.","When you don't understand, you're best off asking your teacher."
114,15,ほうがいい,,ほうがいい,had better; it'd be better to; should~,N5,43,6,⾁だけじゃなくて、野菜も⾷べたほうがいいですよ。,"niku dake janakute, yasai mo tabeta hou ga ii desu yo.","It's better to not just eat meat, but some vegetables as well."
115,15,ほうがいい,,ほうがいい,had better; it'd be better to; should~,N5,43,7,ご飯の後で、⻭を磨いた⽅がいいですよ。,"gohan no ato de, ha o migaita hou ga ii desu yo.",It's best to brush your teeth after eating.
116,15,ほうがいい,,ほうがいい,had better; it'd be better to; should~,N5,43,8,20 歳になっても、お酒を飲まない⽅がいいと思います。,"hatachi ni nattemo, osake o nomanai hou ga ii to omoimasu.","Even if you turn 20, I think it's best to not drink any alcohol."
117,17,いちばん,,いちばん,the most; the best [A]+ が/は + いちばん,N5,48,1,彼がいちばん働いた。,kare ga ichiban hataraita.,He worked the hardest.
118,17,いちばん,,いちばん,the most; the best [A]+ が/は + いちばん,N5,48,2,秋が⼀番好きな季節です。,aki ga ichiban suki na kisetsu desu.,Fall is my favorite season.
119,17,いちばん,,いちばん,the most; the best [A]+ が/は + いちばん,N5,48,3,私はブロッコリーが⼀番嫌いだ。,watashi wa burokkorii ga ichiban kirai da.,I hate broccoli the most.
120,17,いちばん,,いちばん,the most; the best [A]+ が/は + いちばん,N5,48,4,午前中が⼀番調⼦がいい。,gozen chuu ga ichiban choushi ga ii.,I feel best in the morning.
121,17,いちばん,,いちばん,the most; the best [A]+ が/は + いちばん,N5,48,5,⼀番前に座っている⼈は誰ですか︖,ichiban mae ni suwatteiru hito wa dare desu ka?,Who is that sitting in the very front?
122,17,いちばん,,いちばん,the most; the best [A]+ が/は + いちばん,N5,48,6,⼀番早く予約できる⽇はいつですか︖,ichiban hayaku yoyaku dekiru hi wa itsu desu ka?,When is the earliest day we can make a reservation?
123,17,いちばん,,いちばん,the most; the best [A]+ が/は + いちばん,N5,48,7,⼀番美しい花が⼀番早くしおれる。,ichiban utsukushii hana ga ichiban hayaku shioreru.,The most beautiful flowers are the first to fade.
124,17,いちばん,,いちばん,the most; the best [A]+ が/は + いちばん,N5,48,8,兄弟で誰が⼀番背が⾼いですか。,kyoudai de dare ga ichiban se ga takai desu ka?,Who is the tallest among your siblings?
125,18,いっしょに,,いっしょに,together often preceded with と,N5,50,1,⼀緒に⽇本語を勉強しましょう。,isshoni nihongo o benkyou shimashou.,Let's study Japanese together.
126,18,いっしょに,,いっしょに,together often preceded with と,N5,50,2,今夜、カラオケに⼀緒に⾏こう。,"konya, karaoke ni isshoni ikou.",Let's go to karaoke together tonight.
127,18,いっしょに,,いっしょに,together often preceded with と,N5,50,3,ずっと彼と⼀緒にいたい。,zutto kare to issho ni itai.,I want to be together with him forever.
128,18,いっしょに,,いっしょに,together often preceded with と,N5,50,4,明⽇の朝、⼀緒にジムに⾏きませんか︖,"ashita no asa, issho ni jimu ni ikimasen ka?",Do you want to go to the gym together tomorrow morning?
129,18,いっしょに,,いっしょに,together often preceded with と,N5,50,5,今朝、友だちと⼀緒に図書館に⾏きました。,"kesa, tomodachi to issho ni toshokan ni ikimashita.",I went to the library together with my friend this morning.
130,18,いっしょに,,いっしょに,together often preceded with と,N5,50,6,うちの⽝と⼀緒に散歩するのが好きです。,uchi no inu to issho ni sanpo suru no ga suki desu.,I like walking together with my family's dog.
131,18,いっしょに,,いっしょに,together often preceded with と,N5,50,7,来週、家族と⼀緒に富⼠⼭を⾒に⾏くんだ。,"raishuu, kazoku to issho ni fuji san o mi ni ikunda.",Next week I'm going together with my family to see Mt. Fuji.
132,19,いつも,,いつも,always; usually; habitually Can be used mid-sentence and also to start a,N5,52,1,彼はいつも元気ですね。,kare wa itsumo genki desu ne.,He is always energetic.
133,19,いつも,,いつも,always; usually; habitually Can be used mid-sentence and also to start a,N5,52,2,妹はいつも寝ている。,imouto wa itsumo neteiru.,My younger sister is always sleeping.
134,19,いつも,,いつも,always; usually; habitually Can be used mid-sentence and also to start a,N5,52,3,いつも夜 10 時に寝ます。,itsumo yoru juuji ni nemasu.,I always go to bed at 10 o'clock.
135,19,いつも,,いつも,always; usually; habitually Can be used mid-sentence and also to start a,N5,52,4,昼ご飯はいつも納⾖を⾷べます。,hirugohan wa itsumo nattou o tabemasu.,I always have natto (fermented soybeans) for lunch.
136,19,いつも,,いつも,always; usually; habitually Can be used mid-sentence and also to start a,N5,52,5,仕事に⾏く前にいつもジムに⾏きます。,shigoto ni iku mae ni itsumo jimu ni ikimasu.,I always go to the gym before going to work.
137,19,いつも,,いつも,always; usually; habitually Can be used mid-sentence and also to start a,N5,52,6,いつも⾃転⾞で学校に来ますが今⽇は歩きました。,itsumo jitensha de gakkou ni kimasu ga kyou wa arukimashita.,"I always go to school by bike, but today I walked."
138,19,いつも,,いつも,always; usually; habitually Can be used mid-sentence and also to start a,N5,52,7,今⽇はいつもと同じ⼀⽇だった。,kyou wa itsumo to onaji ichinichi datta.,Today was a normal day as always.
139,19,いつも,,いつも,always; usually; habitually Can be used mid-sentence and also to start a,N5,52,8,君といつも⼀緒に居たい。,kimi to itsumo issho ni itai.,I want to be together with you always.
140,20,じゃない・ではない,,じゃない・ではない,to not be (am not; is not; are not) casual,N5,54,1,あなたは⼀⼈じゃない。,anata wa hitori janai.,You are not alone.
141,20,じゃない・ではない,,じゃない・ではない,to not be (am not; is not; are not) casual,N5,54,2,危険じゃないの︖,kiken janai no?,Isn't it dangerous?
142,20,じゃない・ではない,,じゃない・ではない,to not be (am not; is not; are not) casual,N5,54,3,そんなつもりじゃなかった。,sonna tsumori ja nakatta.,That wasn't my plan/intention.
143,20,じゃない・ではない,,じゃない・ではない,to not be (am not; is not; are not) casual,N5,54,4,ごめんなさい︕わざとではありませんでした。,gomennasai! wazato dewa arimasen deshita.,I'm so sorry! It wasn't intentional.
144,20,じゃない・ではない,,じゃない・ではない,to not be (am not; is not; are not) casual,N5,54,5,⾁はあまり好きじゃないです。,niku wa amari suki janai desu.,I don't really like meat.
145,20,じゃない・ではない,,じゃない・ではない,to not be (am not; is not; are not) casual,N5,54,6,若いころはやさいが好きじゃなかった。,wakai koro wa yasai ga suki janakatta.,I didn't like vegetables when I was younger.
146,20,じゃない・ではない,,じゃない・ではない,to not be (am not; is not; are not) casual,N5,54,7,私は⽇本語が上⼿ではない。,watashi wa nihongo ga jouzu dewa nai.,I am not good at Japanese (language).
147,21,か,,か,question particle end of sentence か,N5,58,1,何ですか︖,nan desu ka?,What?
148,21,か,,か,question particle end of sentence か,N5,58,2,すみません、あなたも学⽣ですか。,"sumimasen, anata mo gakusei desu ka.","Excuse me, are you also a student?"
149,21,か,,か,question particle end of sentence か,N5,58,3,あなたの名前は何ですか。,anata no namae wa nandesu ka.,What is your name?
150,21,か,,か,question particle end of sentence か,N5,58,4,元気ですか。,genki desu ka.,How are you?
151,21,か,,か,question particle end of sentence か,N5,58,5,彼は何才ですか。,kare wa nansai desu ka.,How old is he?
152,21,か,,か,question particle end of sentence か,N5,58,6,⼤丈夫ですか︖,daijoubu desu ka?,Are you alright?
153,21,か,,か,question particle end of sentence か,N5,58,7,私とお昼ご飯を⾷べませんか︖,watashi to ohiru gohan wo tabemasen ka?,Would you like to have lunch with me?
